,VIN,type,brake_time_sec,brake_distance_ft,road_type,braking_score,brake_pressure20pct,brake_pressure40pct,brake_pressure60pct,brake_pressure80pct,brake_pressure100pct,abs_event,travel_speed
1704,1G1FX6S08H4000012,distracted,4.61,60.97,main road,107,1,0,0,0,0,0,40
1558,1G1FX6S08H4000006,distracted,3.61,59.34,main road,158,0,0,0,0,0,0,41
2786,1G1RB6E41FU000030,aggressive,2.5,18.1,residential,85,1,0,0,0,0,0,34
2850,1G1RB6E41FU000033,aggressive,1.38,17.15,residential,98,1,1,0,0,0,0,35
1451,1G1FX6S08H4000001,distracted,3.17,33.17,residential,132,1,1,0,0,0,0,24
979,1G1FX6S08H4000050,quality,8.11,90.47,highway,176,1,1,1,0,0,0,61
2747,1G1RB6E41FU000029,aggressive,1.82,46.51,main road,76,1,1,1,1,0,0,52
2078,1G1RB6E41FU000003,aggressive,2.26,23.84,residential,69,0,0,0,0,0,0,35
2082,1G1RB6E41FU000004,aggressive,5.2,58.6,highway,113,1,1,1,1,0,0,73
1403,1G1RB6E41FU000050,distracted,3.61,56.05,main road,174,1,1,1,0,0,0,39
2966,1G1RB6E41FU000022,aggressive,4.74,56.68,highway,106,1,1,1,1,1,1,70
490,1G1FX6S08H4000034,quality,4.25,30.47,residential,200,1,0,0,0,0,0,28
2986,1G1RB6E41FU000028,aggressive,4.67,65.89,highway,116,1,1,1,1,1,1,71
967,1G1FX6S08H4000050,quality,7.99,95.48,highway,173,1,1,1,0,0,0,62
392,1G1FX6S08H4000030,quality,6.45,55.56,main road,161,0,0,0,0,0,0,48
1307,1G1RB6E41FU000045,distracted,3.81,28.53,residential,145,1,0,0,0,0,1,18
2918,1G1RB6E41FU000007,aggressive,4.44,54.4,highway,117,1,1,1,1,1,1,71
58,1G1FX6S08H4000019,quality,4.06,32.96,residential,166,0,0,0,0,0,0,26
2359,1G1RB6E41FU000014,aggressive,3.02,47.31,main road,108,1,1,1,0,0,0,54
320,1G1FX6S08H4000028,quality,4,28.84,residential,171,1,1,1,0,0,0,28
66,1G1FX6S08H4000019,quality,4.18,33.3,residential,133,0,0,0,0,0,0,27
1094,1G1RB6E41FU000038,distracted,4.73,55.51,main road,135,1,0,0,0,0,1,40
1262,1G1RB6E41FU000044,distracted,3.17,57.47,main road,131,1,0,0,0,0,1,43
268,1G1FX6S08H4000026,quality,8.19,88.43,highway,174,1,1,1,0,0,0,59
239,1G1FX6S08H4000025,quality,3.86,31.64,residential,196,1,1,0,0,0,0,25
1781,1G1FX6S08H4000015,distracted,3.4,54.28,main road,147,1,0,0,0,0,0,39
1346,1G1RB6E41FU000047,distracted,4.34,52.26,main road,147,1,0,0,0,0,1,36
1265,1G1RB6E41FU000044,distracted,4.95,54.2,main road,120,1,0,0,0,0,1,38
738,1G1FX6S08H4000042,quality,5.9,54.62,main road,164,0,0,0,0,0,0,45
1530,1G1FX6S08H4000004,distracted,2.97,27.37,residential,163,1,1,0,0,0,0,20
1185,1G1RB6E41FU000041,distracted,3.35,60.71,main road,146,1,1,1,0,0,1,39
1453,1G1FX6S08H4000001,distracted,3.33,27.01,residential,135,1,1,1,0,0,0,22
1680,1G1FX6S08H4000010,distracted,3.16,32.18,residential,119,1,1,0,0,0,0,25
2969,1G1RB6E41FU000025,aggressive,4.72,63.04,highway,87,1,1,1,1,1,1,75
580,1G1FX6S08H4000037,quality,3.88,27.39,residential,206,1,1,1,0,0,0,27
585,1G1FX6S08H4000037,quality,4.15,32.91,residential,192,1,0,0,0,0,0,25
114,1G1FX6S08H4000021,quality,5.82,63.46,main road,171,0,0,0,0,0,0,47
2153,1G1RB6E41FU000006,aggressive,2.1,22.68,residential,75,1,0,0,0,0,0,33
2804,1G1RB6E41FU000031,aggressive,5.71,63.33,highway,84,1,1,1,0,0,0,70
2539,1G1RB6E41FU000021,aggressive,0.94,24.27,residential,88,1,1,1,0,0,0,31
2600,1G1RB6E41FU000023,aggressive,2.67,44.21,main road,95,1,1,1,1,0,0,55
2083,1G1RB6E41FU000004,aggressive,4.26,60.01,highway,87,1,1,1,1,0,0,71
1746,1G1FX6S08H4000013,distracted,3.16,34.2,residential,140,1,0,0,0,0,0,21
272,1G1FX6S08H4000026,quality,6.29,85,highway,163,1,1,1,0,0,0,61
1760,1G1FX6S08H4000013,distracted,3.27,28.55,residential,99,1,1,0,0,0,0,23
868,1G1FX6S08H4000046,quality,3.97,27.18,residential,188,1,0,0,0,0,0,22
2799,1G1RB6E41FU000031,aggressive,5.79,59.68,highway,97,1,1,1,1,0,0,74
1035,1G1RB6E41FU000035,distracted,3.93,51.61,main road,121,1,0,0,0,0,1,42
2923,1G1RB6E41FU000010,aggressive,4.11,64.7,highway,77,1,1,1,1,1,1,74
857,1G1FX6S08H4000046,quality,4.11,26.97,residential,212,1,1,0,0,0,0,26
323,1G1FX6S08H4000028,quality,3.72,27.79,residential,167,1,0,0,0,0,0,24
2932,1G1RB6E41FU000013,aggressive,4.67,56.15,highway,94,1,1,1,1,1,1,74
1193,1G1RB6E41FU000041,distracted,3.26,51.08,main road,161,1,0,0,0,0,1,40
2358,1G1RB6E41FU000014,aggressive,3.46,43.43,main road,103,1,1,1,0,0,0,53
2393,1G1RB6E41FU000016,aggressive,6.22,61.72,highway,118,1,1,1,1,0,0,73
435,1G1FX6S08H4000032,quality,8.05,90.68,highway,159,1,1,1,0,0,0,60
1461,1G1FX6S08H4000002,distracted,5.06,80.88,highway,126,1,1,1,1,0,0,61
1069,1G1RB6E41FU000036,distracted,2.88,36.8,residential,114,1,0,0,0,0,1,20
1678,1G1FX6S08H4000010,distracted,2.97,29.31,residential,137,1,1,1,0,0,0,22
1507,1G1FX6S08H4000004,distracted,3.47,31.37,residential,136,1,0,0,0,0,0,23
869,1G1FX6S08H4000046,quality,3.45,28.28,residential,161,0,0,0,0,0,0,27
86,1G1FX6S08H4000020,quality,8.14,93.21,highway,165,1,1,1,0,0,0,60
462,1G1FX6S08H4000033,quality,5.83,62.56,main road,147,0,0,0,0,0,0,44
2126,1G1RB6E41FU000006,aggressive,1.43,23.24,residential,99,0,0,0,0,0,0,35
684,1G1FX6S08H4000040,quality,4.45,32.11,residential,120,1,1,0,0,0,0,28
1688,1G1FX6S08H4000011,distracted,5.05,82.42,highway,158,1,1,1,1,0,0,54
416,1G1FX6S08H4000031,quality,4.36,27.78,residential,189,1,0,0,0,0,0,23
670,1G1FX6S08H4000040,quality,4,30.26,residential,175,1,0,0,0,0,0,28
256,1G1FX6S08H4000026,quality,8.04,87.17,highway,196,1,1,1,0,0,0,61
1127,1G1RB6E41FU000039,distracted,3.51,28.17,residential,139,1,0,0,0,0,1,20
2756,1G1RB6E41FU000029,aggressive,3.34,43.6,main road,98,1,1,1,0,0,0,56
378,1G1FX6S08H4000030,quality,5.94,63.33,main road,183,0,0,0,0,0,0,47
1566,1G1FX6S08H4000006,distracted,3.43,52.43,main road,137,1,0,0,0,0,0,45
183,1G1FX6S08H4000023,quality,8.38,94.39,highway,181,1,1,1,0,0,0,61
601,1G1FX6S08H4000037,quality,4.13,31.52,residential,181,0,0,0,0,0,0,27
1941,1G1FX6S08H4000005,distracted,5.3,87.27,highway,134,1,1,1,1,0,1,55
2569,1G1RB6E41FU000022,aggressive,5.16,63.19,highway,79,1,1,1,1,0,0,71
1548,1G1FX6S08H4000006,distracted,3.83,50.18,main road,165,1,1,1,0,0,0,42
2848,1G1RB6E41FU000033,aggressive,2.81,17.01,residential,112,0,0,0,0,0,0,36
1098,1G1RB6E41FU000038,distracted,4.38,54.49,main road,157,1,0,0,0,0,1,41
2478,1G1RB6E41FU000019,aggressive,6.14,61.79,highway,84,1,1,1,1,0,0,72
2930,1G1RB6E41FU000013,aggressive,6.25,59.23,highway,103,1,1,1,1,1,1,70
1297,1G1RB6E41FU000045,distracted,3.06,28.25,residential,143,1,0,0,0,0,1,24
44,1G1FX6S08H4000019,quality,3.83,35.25,residential,121,0,0,0,0,0,0,29
1603,1G1FX6S08H4000007,distracted,4.05,34.11,residential,133,0,0,0,0,0,0,22
401,1G1FX6S08H4000031,quality,4.17,29.06,residential,181,0,0,0,0,0,0,27
1772,1G1FX6S08H4000014,distracted,5.35,77.78,highway,100,1,1,1,1,0,0,59
445,1G1FX6S08H4000032,quality,7.72,87.71,highway,189,1,1,1,0,0,0,57
431,1G1FX6S08H4000032,quality,9.38,89.76,highway,195,1,1,1,0,0,0,62
91,1G1FX6S08H4000020,quality,6.23,92.49,highway,160,1,1,1,0,0,0,63
1232,1G1RB6E41FU000043,distracted,5.21,81.95,highway,119,1,1,1,1,0,1,57
1555,1G1FX6S08H4000006,distracted,3.5,55.82,main road,148,1,0,0,0,0,0,41
913,1G1FX6S08H4000048,quality,5.27,56.94,main road,157,0,0,0,0,0,0,48
993,1G1FX6S08H4000050,quality,6.84,90.38,highway,152,1,1,1,0,0,0,58
329,1G1FX6S08H4000028,quality,4.51,33.24,residential,146,1,0,0,0,0,0,25
1484,1G1FX6S08H4000003,distracted,3.78,52.1,main road,123,1,1,0,0,0,0,39
2187,1G1RB6E41FU000008,aggressive,3.5,52.8,main road,119,1,0,0,0,0,0,54
1913,1G1RB6E41FU000049,distracted,5.67,76.8,highway,171,1,1,1,1,1,1,56
2720,1G1RB6E41FU000028,aggressive,5.53,57.04,highway,100,1,1,1,1,0,0,73
901,1G1FX6S08H4000047,quality,7.75,89.54,highway,172,1,1,1,0,0,0,61
400,1G1FX6S08H4000031,quality,4.37,32.95,residential,179,1,0,0,0,0,0,25
1187,1G1RB6E41FU000041,distracted,4.07,59.94,main road,69,1,0,0,0,0,1,37
532,1G1FX6S08H4000035,quality,7.77,92.07,highway,147,1,1,1,0,0,0,64
225,1G1FX6S08H4000025,quality,3.91,32.51,residential,181,1,0,0,0,0,0,24
1923,1G1RB6E41FU000049,distracted,4.94,80.79,highway,159,1,1,1,1,0,1,59
1853,1G1RB6E41FU000034,distracted,5.58,80.98,highway,134,1,1,1,1,0,1,54
1191,1G1RB6E41FU000041,distracted,3.61,56.55,main road,159,1,0,0,0,0,1,45
690,1G1FX6S08H4000040,quality,3.82,30.22,residential,138,1,0,0,0,0,0,30
2034,1G1RB6E41FU000002,aggressive,2.66,41.47,main road,111,1,1,1,0,0,0,59
1665,1G1FX6S08H4000010,distracted,3.55,29.15,residential,151,0,0,0,0,0,0,20
2669,1G1RB6E41FU000026,aggressive,2.2,40.7,main road,106,1,1,1,1,0,0,59
374,1G1FX6S08H4000030,quality,5.88,55.86,main road,195,0,0,0,0,0,0,45
2779,1G1RB6E41FU000030,aggressive,1.56,20.3,residential,111,0,0,0,0,0,0,36
2147,1G1RB6E41FU000006,aggressive,2.17,18.96,residential,87,1,1,1,1,0,0,34
554,1G1FX6S08H4000036,quality,5.13,58.74,main road,202,0,0,0,0,0,0,46
2580,1G1RB6E41FU000023,aggressive,2.31,45.03,main road,122,1,1,1,1,0,0,54
2808,1G1RB6E41FU000031,aggressive,4.55,59.19,highway,141,1,1,1,1,0,0,71
759,1G1FX6S08H4000043,quality,3.9,30.9,residential,183,1,0,0,0,0,0,29
33,1G1FX6S08H4000018,quality,5.68,62.05,main road,152,0,0,0,0,0,0,51
2947,1G1RB6E41FU000016,aggressive,5.72,59.1,highway,109,1,1,1,1,1,1,77
1708,1G1FX6S08H4000012,distracted,3.32,53.4,main road,130,0,0,0,0,0,0,38
98,1G1FX6S08H4000020,quality,8.41,84.06,highway,201,1,1,1,0,0,0,58
2640,1G1RB6E41FU000025,aggressive,3.94,61.6,highway,65,1,1,1,1,0,0,69
208,1G1FX6S08H4000024,quality,5.65,57.82,main road,183,0,0,0,0,0,0,43
2748,1G1RB6E41FU000029,aggressive,2.88,39.91,main road,100,1,1,1,1,0,0,54
1271,1G1RB6E41FU000044,distracted,3.52,61.39,main road,121,1,1,0,0,0,1,41
1612,1G1FX6S08H4000008,distracted,5.69,79.72,highway,116,1,1,1,1,0,0,58
456,1G1FX6S08H4000032,quality,7.58,90.79,highway,201,1,1,1,1,0,0,59
888,1G1FX6S08H4000047,quality,7.45,92.94,highway,181,1,1,1,0,0,0,60
2488,1G1RB6E41FU000019,aggressive,4.12,62.67,highway,97,1,1,1,1,0,0,69
997,1G1FX6S08H4000038,quality,7.01,92.39,highway,177,1,1,1,1,0,1,62
902,1G1FX6S08H4000047,quality,7.37,90.74,highway,184,1,1,1,0,0,0,60
1020,1G1RB6E41FU000035,distracted,3.93,55.13,main road,124,1,1,0,0,0,1,42
2590,1G1RB6E41FU000023,aggressive,2.26,44.95,main road,108,1,1,1,0,0,0,58
296,1G1FX6S08H4000027,quality,5.26,61.81,main road,174,0,0,0,0,0,0,47
1608,1G1FX6S08H4000008,distracted,5.41,81.4,highway,98,1,1,1,1,0,0,61
2230,1G1RB6E41FU000009,aggressive,1.21,26.34,residential,84,1,0,0,0,0,0,34
1866,1G1RB6E41FU000037,distracted,5.4,78.17,highway,135,1,1,1,1,0,1,58
2272,1G1RB6E41FU000011,aggressive,2.37,45.63,main road,106,1,1,1,1,0,0,49
2623,1G1RB6E41FU000024,aggressive,1.24,22.37,residential,106,1,1,1,0,0,0,35
1494,1G1FX6S08H4000003,distracted,4.57,61.14,main road,129,1,1,0,0,0,0,40
1331,1G1RB6E41FU000047,distracted,3.95,54.14,main road,119,1,1,1,0,0,1,41
872,1G1FX6S08H4000046,quality,3.85,35.05,residential,173,1,1,0,0,0,0,30
988,1G1FX6S08H4000050,quality,7.89,86.88,highway,182,1,1,1,0,0,0,61
529,1G1FX6S08H4000035,quality,8.78,94.76,highway,215,1,1,1,0,0,0,61
2303,1G1RB6E41FU000012,aggressive,2.25,25.26,residential,98,0,0,0,0,0,0,35
2999,1G1RB6E41FU000034,aggressive,3.71,56.98,highway,94,1,1,1,1,1,1,72
2762,1G1RB6E41FU000029,aggressive,3.25,46.85,main road,104,1,1,1,0,0,0,55
236,1G1FX6S08H4000025,quality,3.73,30.39,residential,211,0,0,0,0,0,0,29
2354,1G1RB6E41FU000014,aggressive,2.51,45.29,main road,69,1,1,1,1,0,0,55
73,1G1FX6S08H4000020,quality,7.83,92.26,highway,170,1,1,1,0,0,0,63
621,1G1FX6S08H4000038,quality,7.38,91.16,highway,156,1,1,1,0,0,0,61
541,1G1FX6S08H4000035,quality,8.42,94.47,highway,189,1,1,1,0,0,0,60
511,1G1FX6S08H4000034,quality,3.93,26.73,residential,118,1,1,0,0,0,0,25
2700,1G1RB6E41FU000027,aggressive,2.4,16.4,residential,106,0,0,0,0,0,0,34
1166,1G1RB6E41FU000040,distracted,5.65,74,highway,120,1,1,1,1,0,1,61
2695,1G1RB6E41FU000027,aggressive,1.72,26.27,residential,105,1,0,0,0,0,0,35
2464,1G1RB6E41FU000018,aggressive,2.51,25.36,residential,95,1,1,1,0,0,0,35
2815,1G1RB6E41FU000032,aggressive,2.88,45.39,main road,94,1,1,1,0,0,0,52
310,1G1FX6S08H4000028,quality,3.84,37.36,residential,176,1,0,0,0,0,0,26
800,1G1FX6S08H4000044,quality,7.6,90.12,highway,178,1,1,1,0,0,0,62
682,1G1FX6S08H4000040,quality,4,25.99,residential,194,0,0,0,0,0,0,30
534,1G1FX6S08H4000035,quality,7.93,86.33,highway,156,1,1,1,0,0,0,59
818,1G1FX6S08H4000045,quality,6.5,59.84,main road,203,0,0,0,0,0,0,49
2339,1G1RB6E41FU000014,aggressive,1.79,44.84,main road,122,1,1,1,0,0,0,57
2049,1G1RB6E41FU000002,aggressive,2.21,45.25,main road,80,1,1,1,0,0,0,55
1418,1G1RB6E41FU000050,distracted,4.74,57.34,main road,161,1,0,0,0,0,0,40
1024,1G1RB6E41FU000035,distracted,4.51,49.71,main road,131,0,0,0,0,0,1,39
2664,1G1RB6E41FU000026,aggressive,1.65,43.23,main road,82,1,1,1,0,0,0,53
2142,1G1RB6E41FU000006,aggressive,2.76,19.27,residential,89,1,1,1,1,0,0,31
1565,1G1FX6S08H4000006,distracted,4.91,52.24,main road,152,1,0,0,0,0,0,43
1018,1G1RB6E41FU000035,distracted,4.05,50.66,main road,175,1,0,0,0,0,1,41
1698,1G1FX6S08H4000011,distracted,5.45,81.78,highway,132,1,1,1,1,0,0,58
2170,1G1RB6E41FU000007,aggressive,6.09,62.63,highway,73,1,1,1,1,0,0,74
886,1G1FX6S08H4000047,quality,8.03,86.26,highway,193,1,1,1,0,0,0,59
873,1G1FX6S08H4000046,quality,4.4,29.26,residential,129,1,0,0,0,0,0,32
128,1G1FX6S08H4000021,quality,5.06,59.54,main road,136,0,0,0,0,0,0,49
2690,1G1RB6E41FU000027,aggressive,1.63,20.8,residential,125,1,0,0,0,0,0,34
1529,1G1FX6S08H4000004,distracted,3.08,37.41,residential,135,1,0,0,0,0,0,21
2732,1G1RB6E41FU000028,aggressive,6.42,61.13,highway,86,1,1,1,1,0,0,67
267,1G1FX6S08H4000026,quality,7.53,83.73,highway,185,1,1,1,0,0,0,64
2983,1G1RB6E41FU000028,aggressive,4.54,59.44,highway,107,1,1,1,1,1,1,72
2211,1G1RB6E41FU000009,aggressive,2.12,19.29,residential,134,1,0,0,0,0,0,31
1533,1G1FX6S08H4000005,distracted,5.13,78.32,highway,131,1,1,1,1,0,0,53
1384,1G1RB6E41FU000049,distracted,5.3,71.25,highway,136,1,1,1,0,0,0,56
1261,1G1RB6E41FU000044,distracted,4.18,54.47,main road,145,1,0,0,0,0,1,45
140,1G1FX6S08H4000022,quality,3.98,24.36,residential,175,1,0,0,0,0,0,25
630,1G1FX6S08H4000038,quality,9.24,89.23,highway,143,1,1,1,0,0,0,62
2963,1G1RB6E41FU000022,aggressive,3.19,58.97,highway,108,1,1,1,1,1,1,67
927,1G1FX6S08H4000048,quality,5.94,63.51,main road,174,1,0,0,0,0,0,46
1155,1G1RB6E41FU000040,distracted,5.7,74.3,highway,90,1,1,1,1,0,1,57
404,1G1FX6S08H4000031,quality,3.87,26.57,residential,182,1,0,0,0,0,0,25
2707,1G1RB6E41FU000027,aggressive,2.33,20.87,residential,93,1,1,0,0,0,0,30
1667,1G1FX6S08H4000010,distracted,3.36,27.15,residential,122,1,0,0,0,0,0,26
1070,1G1RB6E41FU000036,distracted,3.45,30.99,residential,142,1,0,0,0,0,1,23
298,1G1FX6S08H4000027,quality,4.71,59.58,main road,173,0,0,0,0,0,0,47
2941,1G1RB6E41FU000016,aggressive,4.97,61.15,highway,77,1,1,1,1,1,1,69
1328,1G1RB6E41FU000047,distracted,3.83,55.09,main road,155,1,0,0,0,0,1,41
2564,1G1RB6E41FU000022,aggressive,4.59,65.26,highway,108,1,1,1,1,0,0,73
23,1G1FX6S08H4000018,quality,6.57,64.56,main road,167,0,0,0,0,0,0,47
2237,1G1RB6E41FU000010,aggressive,3.59,63.83,highway,116,1,1,1,1,0,0,68
1008,1G1RB6E41FU000034,distracted,5.52,81.28,highway,129,1,1,1,0,0,1,65
1661,1G1FX6S08H4000010,distracted,3.67,32.09,residential,154,1,0,0,0,0,0,19
202,1G1FX6S08H4000024,quality,5.96,62.42,main road,200,1,0,0,0,0,0,50
828,1G1FX6S08H4000045,quality,6.42,57.71,main road,170,0,0,0,0,0,0,49
1681,1G1FX6S08H4000010,distracted,2.98,26.78,residential,105,0,0,0,0,0,0,24
1516,1G1FX6S08H4000004,distracted,3,30.33,residential,100,0,0,0,0,0,0,19
1454,1G1FX6S08H4000002,distracted,5.5,80.69,highway,98,1,1,1,1,0,0,57
2684,1G1RB6E41FU000027,aggressive,1.56,19.11,residential,91,0,0,0,0,0,0,33
1854,1G1RB6E41FU000037,distracted,5.28,75.2,highway,120,1,1,1,1,0,1,56
289,1G1FX6S08H4000027,quality,6.06,61.14,main road,162,0,0,0,0,0,0,43
870,1G1FX6S08H4000046,quality,3.58,32.01,residential,155,0,0,0,0,0,0,26
686,1G1FX6S08H4000040,quality,3.75,31.73,residential,174,0,0,0,0,0,0,25
1409,1G1RB6E41FU000050,distracted,4.39,50.13,main road,132,1,0,0,0,0,0,37
673,1G1FX6S08H4000040,quality,3.83,27.41,residential,138,1,0,0,0,0,0,23
1890,1G1RB6E41FU000043,distracted,5.62,76.48,highway,127,1,1,1,1,0,1,55
895,1G1FX6S08H4000047,quality,7.93,90.87,highway,187,1,1,1,0,0,0,62
750,1G1FX6S08H4000042,quality,5.14,56.7,main road,145,1,0,0,0,0,0,48
2157,1G1RB6E41FU000007,aggressive,5.4,59.39,highway,99,1,1,1,1,0,0,71
866,1G1FX6S08H4000046,quality,3.62,25.72,residential,205,1,0,0,0,0,0,25
1113,1G1RB6E41FU000038,distracted,4.14,53.83,main road,133,1,0,0,0,0,1,37
410,1G1FX6S08H4000031,quality,4.46,33,residential,172,1,1,1,0,0,0,27
2205,1G1RB6E41FU000009,aggressive,1.08,20.63,residential,105,1,0,0,0,0,0,35
2902,1G1RB6E41FU000004,aggressive,3.93,60.69,highway,144,1,1,1,1,1,1,68
2265,1G1RB6E41FU000011,aggressive,2.25,42.58,main road,101,1,1,0,0,0,0,53
446,1G1FX6S08H4000032,quality,8.6,93.16,highway,176,1,1,1,0,0,0,61
2105,1G1RB6E41FU000005,aggressive,2.55,45.78,main road,55,1,1,1,0,0,0,58
709,1G1FX6S08H4000041,quality,7.68,92.8,highway,158,1,1,1,0,0,0,63
2127,1G1RB6E41FU000006,aggressive,1.51,21.12,residential,86,1,1,0,0,0,0,31
2676,1G1RB6E41FU000026,aggressive,2.64,48.03,main road,115,1,1,1,0,0,0,57
2014,1G1RB6E41FU000001,aggressive,6.08,58.13,highway,101,1,1,1,0,0,0,70
606,1G1FX6S08H4000037,quality,3.99,23.41,residential,221,1,1,1,0,0,0,27
2526,1G1RB6E41FU000021,aggressive,1.72,21.12,residential,85,1,1,1,0,0,0,31
805,1G1FX6S08H4000044,quality,6.34,87.77,highway,155,1,1,1,0,0,0,64
1081,1G1RB6E41FU000037,distracted,5.16,76.96,highway,181,1,1,1,1,0,1,62
2894,1G1RB6E41FU000003,aggressive,2.25,19.65,residential,91,1,1,1,1,1,1,34
771,1G1FX6S08H4000043,quality,3.75,32.65,residential,184,1,0,0,0,0,0,25
2888,1G1RB6E41FU000001,aggressive,5.5,56.9,highway,111,1,1,1,1,1,1,77
1884,1G1RB6E41FU000043,distracted,5.6,73.11,highway,148,1,1,1,1,0,1,56
2295,1G1RB6E41FU000012,aggressive,2.17,23.14,residential,91,1,1,1,0,0,0,32
1531,1G1FX6S08H4000004,distracted,3.25,26.58,residential,143,1,1,1,0,0,0,23
326,1G1FX6S08H4000028,quality,4.05,29.2,residential,193,1,1,1,0,0,0,24
108,1G1FX6S08H4000021,quality,6.2,58.01,main road,155,0,0,0,0,0,0,45
1167,1G1RB6E41FU000041,distracted,4.33,58.18,main road,89,1,0,0,0,0,1,39
1609,1G1FX6S08H4000008,distracted,5.6,78,highway,126,1,1,1,1,0,0,53
990,1G1FX6S08H4000050,quality,7.05,90.73,highway,201,1,1,1,0,0,0,58
1524,1G1FX6S08H4000004,distracted,3.42,31.79,residential,138,1,0,0,0,0,0,21
577,1G1FX6S08H4000036,quality,5.01,56.97,main road,208,1,0,0,0,0,0,48
398,1G1FX6S08H4000030,quality,5.69,62.49,main road,167,0,0,0,0,0,0,48
930,1G1FX6S08H4000048,quality,5.33,60.01,main road,185,0,0,0,0,0,0,47
917,1G1FX6S08H4000048,quality,5.35,59.65,main road,211,0,0,0,0,0,0,45
275,1G1FX6S08H4000026,quality,7.8,91.28,highway,187,1,1,1,0,0,0,61
674,1G1FX6S08H4000040,quality,3.64,28.86,residential,169,1,1,1,0,0,0,23
940,1G1FX6S08H4000049,quality,4.03,29.56,residential,190,1,1,0,0,0,0,27
856,1G1FX6S08H4000046,quality,4.05,26.01,residential,165,1,0,0,0,0,0,27
1906,1G1RB6E41FU000046,distracted,5.89,74.27,highway,145,1,1,1,1,1,1,54
450,1G1FX6S08H4000032,quality,7.69,95.56,highway,182,1,1,1,0,0,0,61
366,1G1FX6S08H4000029,quality,7.81,88.12,highway,197,1,1,1,0,0,0,59
2278,1G1RB6E41FU000011,aggressive,3.3,46.54,main road,60,1,1,1,1,0,0,56
2869,1G1RB6E41FU000033,aggressive,1.78,20.24,residential,85,1,1,1,0,0,0,33
862,1G1FX6S08H4000046,quality,4.16,31.3,residential,163,1,0,0,0,0,0,25
634,1G1FX6S08H4000038,quality,7.28,90.86,highway,162,1,1,1,0,0,0,62
324,1G1FX6S08H4000028,quality,4.07,30.93,residential,188,1,1,0,0,0,0,23
2022,1G1RB6E41FU000001,aggressive,3.67,61.55,highway,104,1,1,1,1,0,0,75
96,1G1FX6S08H4000020,quality,7.52,90.59,highway,194,1,1,1,0,0,0,61
976,1G1FX6S08H4000050,quality,7.36,87.09,highway,190,1,1,1,0,0,0,61
2307,1G1RB6E41FU000012,aggressive,1.88,19.08,residential,84,1,1,1,0,0,0,35
2296,1G1RB6E41FU000012,aggressive,2.43,18.41,residential,119,1,1,0,0,0,0,36
2868,1G1RB6E41FU000033,aggressive,2.44,18.45,residential,93,1,1,1,0,0,0,34
2404,1G1RB6E41FU000016,aggressive,5.88,59.71,highway,90,1,1,1,0,0,0,75
2351,1G1RB6E41FU000014,aggressive,2.24,47.41,main road,95,1,1,1,1,0,0,56
9,1G1FX6S08H4000017,quality,8.89,92.14,highway,174,1,1,1,0,0,0,65
307,1G1FX6S08H4000027,quality,6.07,57.94,main road,176,0,0,0,0,0,0,49
2124,1G1RB6E41FU000005,aggressive,2.99,48.3,main road,85,1,1,1,0,0,0,57
2036,1G1RB6E41FU000002,aggressive,1.73,45.73,main road,94,1,1,0,0,0,0,58
1228,1G1RB6E41FU000043,distracted,5.44,73.8,highway,119,1,1,1,1,0,1,58
