"type","brake_time_sec","brake_distance_ft","road_type","braking_score","brake_pressure20pct","brake_pressure40pct","brake_pressure60pct","brake_pressure80pct","brake_pressure100pct","abs_event","travel_speed"
"quality",5.9,54.62,"main road",164,0,0,0,0,0,0,45
"distracted",2.97,27.37,"residential",163,1,1,0,0,0,0,20
"distracted",3.35,60.71,"main road",146,1,1,1,0,0,1,39
"distracted",3.33,27.01,"residential",135,1,1,1,0,0,0,22
"distracted",3.16,32.18,"residential",119,1,1,0,0,0,0,25
"aggressive",4.72,63.04,"highway",87,1,1,1,1,1,1,75
"quality",3.88,27.39,"residential",206,1,1,1,0,0,0,27
"quality",4.15,32.91,"residential",192,1,0,0,0,0,0,25
"quality",5.82,63.46,"main road",171,0,0,0,0,0,0,47
"aggressive",2.1,22.68,"residential",75,1,0,0,0,0,0,33
"aggressive",5.71,63.33,"highway",84,1,1,1,0,0,0,70
"aggressive",0.94,24.27,"residential",88,1,1,1,0,0,0,31
"aggressive",2.67,44.21,"main road",95,1,1,1,1,0,0,55
"aggressive",4.26,60.01,"highway",87,1,1,1,1,0,0,71
"distracted",3.16,34.2,"residential",140,1,0,0,0,0,0,21
"quality",6.29,85,"highway",163,1,1,1,0,0,0,61
"distracted",3.27,28.55,"residential",99,1,1,0,0,0,0,23
"quality",3.97,27.18,"residential",188,1,0,0,0,0,0,22
"aggressive",5.79,59.68,"highway",97,1,1,1,1,0,0,74
"distracted",3.93,51.61,"main road",121,1,0,0,0,0,1,42
"aggressive",4.11,64.7,"highway",77,1,1,1,1,1,1,74
"quality",4.11,26.97,"residential",212,1,1,0,0,0,0,26
"quality",3.72,27.79,"residential",167,1,0,0,0,0,0,24
"aggressive",4.67,56.15,"highway",94,1,1,1,1,1,1,74
"distracted",3.26,51.08,"main road",161,1,0,0,0,0,1,40
"aggressive",3.46,43.43,"main road",103,1,1,1,0,0,0,53
"aggressive",6.22,61.72,"highway",118,1,1,1,1,0,0,73
"quality",8.05,90.68,"highway",159,1,1,1,0,0,0,60
"distracted",5.06,80.88,"highway",126,1,1,1,1,0,0,61
"distracted",2.88,36.8,"residential",114,1,0,0,0,0,1,20
"distracted",2.97,29.31,"residential",137,1,1,1,0,0,0,22
"distracted",3.47,31.37,"residential",136,1,0,0,0,0,0,23
"quality",3.45,28.28,"residential",161,0,0,0,0,0,0,27
"quality",8.14,93.21,"highway",165,1,1,1,0,0,0,60
"quality",5.83,62.56,"main road",147,0,0,0,0,0,0,44
"aggressive",1.43,23.24,"residential",99,0,0,0,0,0,0,35
"quality",4.45,32.11,"residential",120,1,1,0,0,0,0,28
"distracted",5.05,82.42,"highway",158,1,1,1,1,0,0,54
"quality",4.36,27.78,"residential",189,1,0,0,0,0,0,23
"quality",4,30.26,"residential",175,1,0,0,0,0,0,28
"quality",8.04,87.17,"highway",196,1,1,1,0,0,0,61
"distracted",3.51,28.17,"residential",139,1,0,0,0,0,1,20
"aggressive",3.34,43.6,"main road",98,1,1,1,0,0,0,56
"quality",5.94,63.33,"main road",183,0,0,0,0,0,0,47
"distracted",3.43,52.43,"main road",137,1,0,0,0,0,0,45
"quality",8.38,94.39,"highway",181,1,1,1,0,0,0,61
"quality",4.13,31.52,"residential",181,0,0,0,0,0,0,27
"distracted",5.3,87.27,"highway",134,1,1,1,1,0,1,55
"aggressive",5.16,63.19,"highway",79,1,1,1,1,0,0,71
"distracted",3.83,50.18,"main road",165,1,1,1,0,0,0,42
"aggressive",2.81,17.01,"residential",112,0,0,0,0,0,0,36
"distracted",4.38,54.49,"main road",157,1,0,0,0,0,1,41
"aggressive",6.14,61.79,"highway",84,1,1,1,1,0,0,72
"aggressive",6.25,59.23,"highway",103,1,1,1,1,1,1,70
"distracted",3.06,28.25,"residential",143,1,0,0,0,0,1,24
"quality",3.83,35.25,"residential",121,0,0,0,0,0,0,29
"distracted",4.05,34.11,"residential",133,0,0,0,0,0,0,22
"quality",4.17,29.06,"residential",181,0,0,0,0,0,0,27
"distracted",5.35,77.78,"highway",100,1,1,1,1,0,0,59
"quality",7.72,87.71,"highway",189,1,1,1,0,0,0,57
"quality",9.38,89.76,"highway",195,1,1,1,0,0,0,62
"quality",6.23,92.49,"highway",160,1,1,1,0,0,0,63
"distracted",5.21,81.95,"highway",119,1,1,1,1,0,1,57
"distracted",3.5,55.82,"main road",148,1,0,0,0,0,0,41
"quality",5.27,56.94,"main road",157,0,0,0,0,0,0,48
"quality",6.84,90.38,"highway",152,1,1,1,0,0,0,58
"quality",4.51,33.24,"residential",146,1,0,0,0,0,0,25
"distracted",3.78,52.1,"main road",123,1,1,0,0,0,0,39
"aggressive",3.5,52.8,"main road",119,1,0,0,0,0,0,54
"distracted",5.67,76.8,"highway",171,1,1,1,1,1,1,56
"aggressive",5.53,57.04,"highway",100,1,1,1,1,0,0,73
"quality",7.75,89.54,"highway",172,1,1,1,0,0,0,61
"quality",4.37,32.95,"residential",179,1,0,0,0,0,0,25
"distracted",4.07,59.94,"main road",69,1,0,0,0,0,1,37
"quality",7.77,92.07,"highway",147,1,1,1,0,0,0,64
"quality",3.91,32.51,"residential",181,1,0,0,0,0,0,24
"distracted",4.94,80.79,"highway",159,1,1,1,1,0,1,59
"distracted",5.58,80.98,"highway",134,1,1,1,1,0,1,54
"distracted",3.61,56.55,"main road",159,1,0,0,0,0,1,45
"quality",3.82,30.22,"residential",138,1,0,0,0,0,0,30
"aggressive",2.66,41.47,"main road",111,1,1,1,0,0,0,59
"distracted",3.55,29.15,"residential",151,0,0,0,0,0,0,20
"aggressive",2.2,40.7,"main road",106,1,1,1,1,0,0,59
"quality",5.88,55.86,"main road",195,0,0,0,0,0,0,45
"aggressive",1.56,20.3,"residential",111,0,0,0,0,0,0,36
"aggressive",2.17,18.96,"residential",87,1,1,1,1,0,0,34
"quality",5.13,58.74,"main road",202,0,0,0,0,0,0,46
"aggressive",2.31,45.03,"main road",122,1,1,1,1,0,0,54
"aggressive",4.55,59.19,"highway",141,1,1,1,1,0,0,71
"quality",3.9,30.9,"residential",183,1,0,0,0,0,0,29
"quality",5.68,62.05,"main road",152,0,0,0,0,0,0,51
"aggressive",5.72,59.1,"highway",109,1,1,1,1,1,1,77
"distracted",3.32,53.4,"main road",130,0,0,0,0,0,0,38
"quality",8.41,84.06,"highway",201,1,1,1,0,0,0,58
"aggressive",3.94,61.6,"highway",65,1,1,1,1,0,0,69
"quality",5.65,57.82,"main road",183,0,0,0,0,0,0,43
"aggressive",2.88,39.91,"main road",100,1,1,1,1,0,0,54
"distracted",3.52,61.39,"main road",121,1,1,0,0,0,1,41
"distracted",5.69,79.72,"highway",116,1,1,1,1,0,0,58
"quality",7.58,90.79,"highway",201,1,1,1,1,0,0,59
"quality",7.45,92.94,"highway",181,1,1,1,0,0,0,60
"aggressive",4.12,62.67,"highway",97,1,1,1,1,0,0,69
"quality",7.01,92.39,"highway",177,1,1,1,1,0,1,62
"quality",7.37,90.74,"highway",184,1,1,1,0,0,0,60
"distracted",3.93,55.13,"main road",124,1,1,0,0,0,1,42
"aggressive",2.26,44.95,"main road",108,1,1,1,0,0,0,58
"quality",5.26,61.81,"main road",174,0,0,0,0,0,0,47
"distracted",5.41,81.4,"highway",98,1,1,1,1,0,0,61
"aggressive",1.21,26.34,"residential",84,1,0,0,0,0,0,34
"distracted",5.4,78.17,"highway",135,1,1,1,1,0,1,58
"aggressive",2.37,45.63,"main road",106,1,1,1,1,0,0,49
"aggressive",1.24,22.37,"residential",106,1,1,1,0,0,0,35
"distracted",4.57,61.14,"main road",129,1,1,0,0,0,0,40
"distracted",3.95,54.14,"main road",119,1,1,1,0,0,1,41
"quality",3.85,35.05,"residential",173,1,1,0,0,0,0,30
"quality",7.89,86.88,"highway",182,1,1,1,0,0,0,61
"quality",8.78,94.76,"highway",215,1,1,1,0,0,0,61
"aggressive",2.25,25.26,"residential",98,0,0,0,0,0,0,35
"aggressive",3.71,56.98,"highway",94,1,1,1,1,1,1,72
"aggressive",3.25,46.85,"main road",104,1,1,1,0,0,0,55
"quality",3.73,30.39,"residential",211,0,0,0,0,0,0,29
"aggressive",2.51,45.29,"main road",69,1,1,1,1,0,0,55
"quality",7.83,92.26,"highway",170,1,1,1,0,0,0,63
"quality",7.38,91.16,"highway",156,1,1,1,0,0,0,61
"quality",8.42,94.47,"highway",189,1,1,1,0,0,0,60
"quality",3.93,26.73,"residential",118,1,1,0,0,0,0,25
"aggressive",2.4,16.4,"residential",106,0,0,0,0,0,0,34
"distracted",5.65,74,"highway",120,1,1,1,1,0,1,61
"aggressive",1.72,26.27,"residential",105,1,0,0,0,0,0,35
"aggressive",2.51,25.36,"residential",95,1,1,1,0,0,0,35
"aggressive",2.88,45.39,"main road",94,1,1,1,0,0,0,52
"quality",3.84,37.36,"residential",176,1,0,0,0,0,0,26
"quality",7.6,90.12,"highway",178,1,1,1,0,0,0,62
"quality",4,25.99,"residential",194,0,0,0,0,0,0,30
"quality",7.93,86.33,"highway",156,1,1,1,0,0,0,59
"quality",6.5,59.84,"main road",203,0,0,0,0,0,0,49
"aggressive",1.79,44.84,"main road",122,1,1,1,0,0,0,57
"aggressive",2.21,45.25,"main road",80,1,1,1,0,0,0,55
"distracted",4.74,57.34,"main road",161,1,0,0,0,0,0,40
"distracted",4.51,49.71,"main road",131,0,0,0,0,0,1,39
"aggressive",1.65,43.23,"main road",82,1,1,1,0,0,0,53
"aggressive",2.76,19.27,"residential",89,1,1,1,1,0,0,31
"distracted",4.91,52.24,"main road",152,1,0,0,0,0,0,43
"distracted",4.05,50.66,"main road",175,1,0,0,0,0,1,41
"distracted",5.45,81.78,"highway",132,1,1,1,1,0,0,58
"aggressive",6.09,62.63,"highway",73,1,1,1,1,0,0,74
"quality",8.03,86.26,"highway",193,1,1,1,0,0,0,59
"quality",4.4,29.26,"residential",129,1,0,0,0,0,0,32
"quality",5.06,59.54,"main road",136,0,0,0,0,0,0,49
"aggressive",1.63,20.8,"residential",125,1,0,0,0,0,0,34
"distracted",3.08,37.41,"residential",135,1,0,0,0,0,0,21
"aggressive",6.42,61.13,"highway",86,1,1,1,1,0,0,67
"quality",7.53,83.73,"highway",185,1,1,1,0,0,0,64
"aggressive",4.54,59.44,"highway",107,1,1,1,1,1,1,72
"aggressive",2.12,19.29,"residential",134,1,0,0,0,0,0,31
"distracted",5.13,78.32,"highway",131,1,1,1,1,0,0,53
"distracted",5.3,71.25,"highway",136,1,1,1,0,0,0,56
"distracted",4.18,54.47,"main road",145,1,0,0,0,0,1,45
"quality",3.98,24.36,"residential",175,1,0,0,0,0,0,25
"quality",9.24,89.23,"highway",143,1,1,1,0,0,0,62
"aggressive",3.19,58.97,"highway",108,1,1,1,1,1,1,67
"quality",5.94,63.51,"main road",174,1,0,0,0,0,0,46
"distracted",5.7,74.3,"highway",90,1,1,1,1,0,1,57
"quality",3.87,26.57,"residential",182,1,0,0,0,0,0,25
"aggressive",2.33,20.87,"residential",93,1,1,0,0,0,0,30
"distracted",3.36,27.15,"residential",122,1,0,0,0,0,0,26
"distracted",3.45,30.99,"residential",142,1,0,0,0,0,1,23
"quality",4.71,59.58,"main road",173,0,0,0,0,0,0,47
"aggressive",4.97,61.15,"highway",77,1,1,1,1,1,1,69
"distracted",3.83,55.09,"main road",155,1,0,0,0,0,1,41
"aggressive",4.59,65.26,"highway",108,1,1,1,1,0,0,73
"quality",6.57,64.56,"main road",167,0,0,0,0,0,0,47
"aggressive",3.59,63.83,"highway",116,1,1,1,1,0,0,68
"distracted",5.52,81.28,"highway",129,1,1,1,0,0,1,65
"distracted",3.67,32.09,"residential",154,1,0,0,0,0,0,19
"quality",5.96,62.42,"main road",200,1,0,0,0,0,0,50
"quality",6.42,57.71,"main road",170,0,0,0,0,0,0,49
"distracted",2.98,26.78,"residential",105,0,0,0,0,0,0,24
"distracted",3,30.33,"residential",100,0,0,0,0,0,0,19
"distracted",5.5,80.69,"highway",98,1,1,1,1,0,0,57
"aggressive",1.56,19.11,"residential",91,0,0,0,0,0,0,33
"distracted",5.28,75.2,"highway",120,1,1,1,1,0,1,56
"quality",6.06,61.14,"main road",162,0,0,0,0,0,0,43
"quality",3.58,32.01,"residential",155,0,0,0,0,0,0,26
"quality",3.75,31.73,"residential",174,0,0,0,0,0,0,25
"distracted",4.39,50.13,"main road",132,1,0,0,0,0,0,37
"quality",3.83,27.41,"residential",138,1,0,0,0,0,0,23
"distracted",5.62,76.48,"highway",127,1,1,1,1,0,1,55
"quality",7.93,90.87,"highway",187,1,1,1,0,0,0,62
"quality",5.14,56.7,"main road",145,1,0,0,0,0,0,48
"aggressive",5.4,59.39,"highway",99,1,1,1,1,0,0,71
"quality",3.62,25.72,"residential",205,1,0,0,0,0,0,25
"distracted",4.14,53.83,"main road",133,1,0,0,0,0,1,37
"quality",4.46,33,"residential",172,1,1,1,0,0,0,27
"aggressive",1.08,20.63,"residential",105,1,0,0,0,0,0,35
"aggressive",3.93,60.69,"highway",144,1,1,1,1,1,1,68
"aggressive",2.25,42.58,"main road",101,1,1,0,0,0,0,53
"quality",8.6,93.16,"highway",176,1,1,1,0,0,0,61
"aggressive",2.55,45.78,"main road",55,1,1,1,0,0,0,58
"quality",7.68,92.8,"highway",158,1,1,1,0,0,0,63
"aggressive",1.51,21.12,"residential",86,1,1,0,0,0,0,31
"aggressive",2.64,48.03,"main road",115,1,1,1,0,0,0,57
"aggressive",6.08,58.13,"highway",101,1,1,1,0,0,0,70
"quality",3.99,23.41,"residential",221,1,1,1,0,0,0,27
"aggressive",1.72,21.12,"residential",85,1,1,1,0,0,0,31
"quality",6.34,87.77,"highway",155,1,1,1,0,0,0,64
"distracted",5.16,76.96,"highway",181,1,1,1,1,0,1,62
"aggressive",2.25,19.65,"residential",91,1,1,1,1,1,1,34
"quality",3.75,32.65,"residential",184,1,0,0,0,0,0,25
"aggressive",5.5,56.9,"highway",111,1,1,1,1,1,1,77
"distracted",5.6,73.11,"highway",148,1,1,1,1,0,1,56
"aggressive",2.17,23.14,"residential",91,1,1,1,0,0,0,32
"distracted",3.25,26.58,"residential",143,1,1,1,0,0,0,23
"quality",4.05,29.2,"residential",193,1,1,1,0,0,0,24
"quality",6.2,58.01,"main road",155,0,0,0,0,0,0,45
"distracted",4.33,58.18,"main road",89,1,0,0,0,0,1,39
"distracted",5.6,78,"highway",126,1,1,1,1,0,0,53
"quality",7.05,90.73,"highway",201,1,1,1,0,0,0,58
"distracted",3.42,31.79,"residential",138,1,0,0,0,0,0,21
"quality",5.01,56.97,"main road",208,1,0,0,0,0,0,48
"quality",5.69,62.49,"main road",167,0,0,0,0,0,0,48
"quality",5.33,60.01,"main road",185,0,0,0,0,0,0,47
"quality",5.35,59.65,"main road",211,0,0,0,0,0,0,45
"quality",7.8,91.28,"highway",187,1,1,1,0,0,0,61
"quality",3.64,28.86,"residential",169,1,1,1,0,0,0,23
"quality",4.03,29.56,"residential",190,1,1,0,0,0,0,27
"quality",4.05,26.01,"residential",165,1,0,0,0,0,0,27
"distracted",5.89,74.27,"highway",145,1,1,1,1,1,1,54
"quality",7.69,95.56,"highway",182,1,1,1,0,0,0,61
"quality",7.81,88.12,"highway",197,1,1,1,0,0,0,59
"aggressive",3.3,46.54,"main road",60,1,1,1,1,0,0,56
"aggressive",1.78,20.24,"residential",85,1,1,1,0,0,0,33
"quality",4.16,31.3,"residential",163,1,0,0,0,0,0,25
"quality",7.28,90.86,"highway",162,1,1,1,0,0,0,62
"quality",4.07,30.93,"residential",188,1,1,0,0,0,0,23
"aggressive",3.67,61.55,"highway",104,1,1,1,1,0,0,75
"quality",7.52,90.59,"highway",194,1,1,1,0,0,0,61
"quality",7.36,87.09,"highway",190,1,1,1,0,0,0,61
"aggressive",1.88,19.08,"residential",84,1,1,1,0,0,0,35
"aggressive",2.43,18.41,"residential",119,1,1,0,0,0,0,36
"aggressive",2.44,18.45,"residential",93,1,1,1,0,0,0,34
"aggressive",5.88,59.71,"highway",90,1,1,1,0,0,0,75
"aggressive",2.24,47.41,"main road",95,1,1,1,1,0,0,56
"quality",8.89,92.14,"highway",174,1,1,1,0,0,0,65
"quality",6.07,57.94,"main road",176,0,0,0,0,0,0,49
"aggressive",2.99,48.3,"main road",85,1,1,1,0,0,0,57
"aggressive",1.73,45.73,"main road",94,1,1,0,0,0,0,58
"distracted",5.44,73.8,"highway",119,1,1,1,1,0,1,58
"distracted",3.71,26.04,"residential",122,0,0,0,0,0,1,21
"distracted",5.45,76.7,"highway",134,1,1,1,1,0,1,60
"aggressive",2.52,41.47,"main road",105,1,0,0,0,0,0,52
"aggressive",4.58,59.35,"highway",81,1,1,1,1,1,1,77
"quality",5.77,65.12,"main road",172,1,0,0,0,0,0,49
"distracted",3.29,29.2,"residential",153,1,1,1,0,0,1,21
"aggressive",1.85,43.79,"main road",106,1,0,0,0,0,0,57
"aggressive",1.91,15.17,"residential",99,0,0,0,0,0,0,32
"quality",6.25,61.23,"main road",211,0,0,0,0,0,0,48
"distracted",4.1,53.39,"main road",140,1,1,0,0,0,0,37
"aggressive",3.56,56.92,"highway",109,1,1,1,1,1,1,75
"distracted",5.41,76.73,"highway",164,1,1,1,1,0,1,55
"distracted",4.19,52.05,"main road",140,0,0,0,0,0,0,43
"distracted",5.45,76.53,"highway",110,1,1,1,1,0,1,57
"quality",4.4,31.2,"residential",153,1,0,0,0,0,0,28
"distracted",5.42,74.19,"highway",135,1,1,1,1,0,1,52
"distracted",3.24,32.63,"residential",140,1,0,0,0,0,0,17
"aggressive",5.69,59.73,"highway",56,1,1,1,1,0,0,73
"distracted",3.12,30.75,"residential",138,0,0,0,0,0,0,21
"distracted",3.38,29.15,"residential",151,1,1,0,0,0,1,21
"aggressive",2.07,46.56,"main road",109,1,1,1,0,0,0,59
"distracted",5.52,78.2,"highway",135,1,1,1,1,0,1,57
"aggressive",2.69,47.62,"main road",117,1,1,1,0,0,0,48
"quality",4.09,34.16,"residential",167,1,1,0,0,0,0,28
"quality",3.93,27.96,"residential",177,1,1,0,0,0,0,27
"aggressive",2.17,20.65,"residential",140,1,0,0,0,0,0,36
"aggressive",1.85,22.56,"residential",105,1,0,0,0,0,0,32
"quality",8.31,89.86,"highway",168,1,1,1,0,0,0,61
"quality",7.71,91.36,"highway",168,1,1,1,0,0,0,57
"distracted",5.37,77.65,"highway",130,1,1,1,1,0,1,54
"quality",8.11,87.88,"highway",146,1,1,1,0,0,0,59
"aggressive",3.04,43.96,"main road",84,1,1,1,0,0,0,52
"aggressive",2.92,18.35,"residential",95,0,0,0,0,0,0,35
"quality",3.6,23.5,"residential",167,1,1,1,0,0,0,23
"distracted",3.47,22.84,"residential",108,1,0,0,0,0,0,22
"aggressive",2.18,47.31,"main road",100,1,1,1,0,0,0,55
"aggressive",2.47,45.31,"main road",108,1,1,0,0,0,0,55
"aggressive",1.72,13.91,"residential",99,1,1,0,0,0,0,33
"distracted",5.08,75.48,"highway",158,1,1,1,1,0,1,59
"distracted",5.61,81.89,"highway",157,1,1,1,1,0,0,56
"aggressive",1.19,19.91,"residential",155,1,0,0,0,0,0,32
"distracted",5.42,81.7,"highway",131,1,1,1,1,0,1,57
"distracted",5.18,78.93,"highway",174,1,1,1,1,0,1,53
"quality",3.94,30.77,"residential",185,1,0,0,0,0,0,25
"distracted",5.85,79.48,"highway",129,1,1,1,1,0,1,57
"aggressive",4.87,61.08,"highway",82,1,1,1,1,0,0,67
"aggressive",4.25,62.7,"highway",130,1,1,1,0,0,0,74
"aggressive",5.46,57.51,"highway",104,1,1,1,1,0,0,72
"aggressive",2.28,43.7,"main road",96,1,1,1,0,0,0,55
"distracted",3.58,27.84,"residential",132,0,0,0,0,0,1,22
"distracted",3.27,25.5,"residential",144,1,0,0,0,0,1,24
"aggressive",4,61.86,"highway",93,1,1,1,1,1,1,69
"quality",3.76,33.51,"residential",180,1,0,0,0,0,0,24
"quality",8.02,88.48,"highway",166,1,1,1,0,0,0,59
"aggressive",2.82,41.74,"main road",82,1,1,1,0,0,0,60
"aggressive",5.57,61.88,"highway",110,1,1,1,1,0,0,77
"distracted",3.41,32.24,"residential",146,1,1,1,0,0,0,24
"aggressive",2.29,20.37,"residential",126,0,0,0,0,0,0,32
"aggressive",5.71,57.46,"highway",102,1,1,1,1,0,0,68
"distracted",3.3,32.43,"residential",107,0,0,0,0,0,0,18
"aggressive",2.56,46.61,"main road",84,1,1,1,0,0,0,56
"distracted",3.37,28.14,"residential",135,0,0,0,0,0,0,23
"quality",7.32,95.56,"highway",183,1,1,1,0,0,0,63
"aggressive",2.24,49.22,"main road",86,1,1,1,1,0,0,60
"quality",5.49,61.12,"main road",175,0,0,0,0,0,0,48
"quality",3.75,31.03,"residential",132,1,0,0,0,0,0,25
"distracted",3.4,31.31,"residential",108,0,0,0,0,0,0,20
"aggressive",2.15,43.36,"main road",83,1,1,1,0,0,0,58
"quality",6.01,60.05,"main road",161,0,0,0,0,0,0,50
"quality",6.08,61.85,"main road",177,0,0,0,0,0,0,47
"quality",4.04,30.4,"residential",162,0,0,0,0,0,0,25
"quality",7.06,86.84,"highway",190,1,1,1,0,0,0,63
"aggressive",2.42,45.11,"main road",103,1,1,1,1,0,0,52
"distracted",4.65,50.71,"main road",113,1,1,1,0,0,0,40
"quality",4.06,29.41,"residential",182,1,0,0,0,0,0,24
"quality",6.14,62.44,"main road",157,0,0,0,0,0,0,48
"aggressive",1.8,42.54,"main road",113,1,1,1,0,0,0,55
"quality",4.13,29.49,"residential",165,0,0,0,0,0,0,29
"aggressive",3.2,20.55,"residential",122,1,1,1,0,0,0,37
"distracted",5.11,70.71,"highway",111,1,1,1,1,0,0,56
"quality",7.75,90.35,"highway",190,1,1,1,0,0,0,60
"aggressive",6.39,60.41,"highway",81,1,1,1,1,0,0,72
"distracted",3.27,29.61,"residential",127,1,0,0,0,0,1,20
"aggressive",1.58,46.48,"main road",116,1,1,0,0,0,0,55
"aggressive",1.56,19.72,"residential",85,0,0,0,0,0,0,33
"quality",7.84,91.98,"highway",197,1,1,1,0,0,0,63
"quality",5.98,61.97,"main road",175,0,0,0,0,0,0,45
"quality",8.48,90.85,"highway",193,1,1,1,0,0,0,60
"aggressive",2.46,57.09,"highway",119,1,1,1,1,0,0,71
"quality",3.78,32.7,"residential",188,1,1,0,0,0,0,23
"distracted",3.58,31.23,"residential",166,1,1,0,0,0,0,23
"quality",7.3,87.72,"highway",160,1,1,1,0,0,0,61
"aggressive",5.04,62.47,"highway",134,1,1,1,1,0,0,74
"quality",3.97,34.57,"residential",139,1,0,0,0,0,0,24
"distracted",3.2,26.33,"residential",119,0,0,0,0,0,1,23
"distracted",4.7,60.36,"main road",165,1,0,0,0,0,1,40
"aggressive",2.12,42.97,"main road",102,1,1,1,0,0,0,57
"distracted",4.35,46.28,"main road",136,1,1,1,0,0,0,41
"distracted",3.13,47.2,"main road",124,1,0,0,0,0,0,38
"distracted",5.26,76.97,"highway",131,1,1,1,1,0,1,57
"distracted",5.71,75.69,"highway",139,1,1,1,1,0,1,58
"distracted",3.22,29.65,"residential",105,0,0,0,0,0,0,20
"quality",6.34,64.78,"main road",196,0,0,0,0,0,0,48
"distracted",3.61,30.68,"residential",148,0,0,0,0,0,0,26
"distracted",5.5,80.17,"highway",121,1,1,1,1,0,1,58
"distracted",5.56,80.47,"highway",149,1,1,1,0,0,0,57
"aggressive",3.13,21.11,"residential",64,1,0,0,0,0,0,33
"quality",4.1,27.11,"residential",191,1,1,0,0,0,0,30
"quality",3.93,29.81,"residential",182,0,0,0,0,0,0,25
"quality",4.25,30,"residential",191,1,0,0,0,0,0,26
"quality",7.29,88.45,"highway",188,1,1,1,0,0,0,59
"aggressive",5.02,59.37,"highway",59,1,1,1,1,0,0,72
"quality",8.36,86.9,"highway",153,1,1,1,0,0,0,61
"quality",5.62,66.95,"main road",144,0,0,0,0,0,0,47
"distracted",5.67,79.84,"highway",81,1,1,1,1,0,1,59
"quality",4.87,58.97,"main road",198,1,0,0,0,0,0,47
"aggressive",6.67,61.48,"highway",85,1,1,1,1,0,0,71
"aggressive",4.98,60.51,"highway",67,1,1,1,1,0,0,72
"aggressive",1.09,49.35,"main road",92,1,1,1,1,0,0,50
"quality",5.92,60.35,"main road",147,0,0,0,0,0,0,44
"aggressive",4.51,61.1,"highway",97,1,1,1,1,1,1,72
"aggressive",1.66,18.85,"residential",136,0,0,0,0,0,0,33
